No.,*Name,*DA or not(1:DA; 0:not DA),*Default,*Min,*Max,Full Name,Unit,Reference
1,c1,0,1.00E+02,1.00E+01,2.50E+02,Growing degree day threshold for leaf out,,
2,c2,1,2.00E+02,5.00E+01,5.00E+02,Growing degree day threshold for maximum LAI,,
3,c3,1,4.00E+00,2.00E+00,7.00E+00,Seasonal maximum leaf area index,-,
4,c4,1,5.00E+00,0.00E+00,1.00E+01,Temperature for leaf fall,,
5,c5,1,1.00E-01,3.00E-02,9.50E-01,Rate of leaf fall,,
6,c6,1,7.00E+00,1.00E+00,2.00E+01,N use efficiency,-,
7,c7,1,2.00E-01,5.00E-02,5.00E-01,Growth respiration fraction,-,
8,c8,1,1.00E-04,5.00E-05,1.00E-02,Base rate for maintenance respiration,,
9,c9,1,2.00E+00,1.00E+00,4.00E+00,Maintenance respiration T-sensitivity,-,
10,c10,1,7.00E-01,1.00E-01,9.50E-01,Allocation to plant stem pool,-,
11,c11,1,5.48E-04,1.10E-04,2.74E-03,Root turnover time,,
12,c12,1,5.48E-05,1.10E-05,2.74E-04,Stem turnover time,,
13,c13,1,2.00E+00,1.00E+00,4.00E+00,Heterotrophic respiration T-sensitivity,-,
14,c14,1,1.37E-03,5.48E-04,5.48E-03,Base turnover for litter,,
15,c15,1,9.13E-05,2.74E-05,2.74E-04,Base turnover for soil organic matter,,
16,c16,1,1.00E-03,1.00E-04,1.00E-02,Decomposition rate,,
17,c17,1,8.00E+01,2.00E+01,1.50E+02,Leaf mass per area,,
18,c18,1,5.00E+03,1.00E+03,1.50E+04,Initial value for stem C pool,,
19,c19,1,5.00E+02,1.00E+02,3.00E+03,Initial value for root C pool,,
20,c20,1,6.00E+02,5.00E+01,1.00E+03,Initial value for litter C pool,,
21,c21,1,7.00E+03,1.00E+03,2.50E+04,Initial value for soil organic C pool,,
